arm	mode	kind	code	ms
a01-128-spread	spread	miss	404	203
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	436
a01-128-spread	spread	hit	200	25
a01-128-spread	spread	miss	404	429
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	419
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	499
a01-128-spread	spread	hit	200	13
a01-128-spread	spread	miss	404	419
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	487
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	423
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	386
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	491
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	555
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	496
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	439
a01-128-spread	spread	hit	200	6
a01-128-spread	spread	miss	404	400
a01-128-spread	spread	hit	200	10
a01-128-spread	spread	miss	404	542
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	591
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	484
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	565
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	524
a01-128-spread	spread	hit	200	4
a01-128-spread	spread	miss	404	535
a01-128-spread	spread	hit	200	4
a01-128-spread	spread	miss	404	514
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	436
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	540
a01-128-spread	spread	hit	200	4
a01-128-spread	spread	miss	404	570
a01-128-spread	spread	hit	200	3
a01-128-spread	spread	miss	404	512
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	516
a01-128-spread	spread	hit	200	3
a01-128-spread	spread	miss	404	438
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	518
a01-128-spread	spread	hit	200	6
a01-128-spread	spread	miss	404	459
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	481
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	481
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	566
a01-128-spread	spread	hit	200	5
a01-128-spread	spread	miss	404	558
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	388
a01-128-spread	spread	hit	200	6
a01-128-spread	spread	miss	404	449
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	237
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	449
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	512
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	492
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	683
a01-128-spread	spread	hit	200	5
a01-128-spread	spread	miss	404	527
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	470
a01-128-spread	spread	hit	200	3
a01-128-spread	spread	miss	404	431
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	428
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	392
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	425
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	282
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	490
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	473
a01-128-spread	spread	hit	200	3
a01-128-spread	spread	miss	404	415
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	387
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	289
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	221
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	504
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	535
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	526
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	552
a01-128-spread	spread	hit	200	9
a01-128-spread	spread	miss	404	672
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	639
a01-128-spread	spread	hit	200	3
a01-128-spread	spread	miss	404	476
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	634
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	603
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	566
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	595
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	506
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	467
a01-128-spread	spread	hit	200	5
a01-128-spread	spread	miss	404	656
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	454
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	436
a01-128-spread	spread	hit	200	3
a01-128-spread	spread	miss	404	500
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	390
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	481
a01-128-spread	spread	hit	200	14
a01-128-spread	spread	miss	404	460
a01-128-spread	spread	hit	200	11
a01-128-spread	spread	miss	404	519
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	438
a01-128-spread	spread	hit	200	3
a01-128-spread	spread	miss	404	532
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	470
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	590
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	484
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	476
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	528
a01-128-spread	spread	hit	200	3
a01-128-spread	spread	miss	404	544
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	440
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	228
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	253
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	417
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	508
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	405
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	161
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	506
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	375
a01-128-spread	spread	hit	200	10
a01-128-spread	spread	miss	404	387
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	446
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	239
