# In-browser weeb-3 concurrency sweep. arms [16], rounds 2, block 160.
# Retrieval budget 30000ms. A row at the bound is "did not complete", never a duration.
# Degraded rounds (canary missed), excluded by the analyser: []
# Scheduling probe: same-origin fetch p50 40ms (ceiling 500ms), document hidden. Judge the environment, do not assume it.
# round 0 pos 0 arm 16: peers 134/66 -> 134/66, focused false
# round 1 pos 0 arm 16: peers 134/66 -> 134/66, focused false
# Summarise with: node deploy/scripts/concurrency-analysis.mjs <this file>
arm	round	ref	startMs	endMs	ms	bytes	status	overBudget
16	0	3805731670	24423	27411	2988	94000	200	
16	0	643919c09f	24424	27411	2987	95128	200	
16	0	412b06ebfd	24427	27411	2984	91368	200	
16	0	cccc04d476	25412	27597	2185	91744	200	
16	0	ca9fb45c59	23410	28398	4988	97008	200	
16	0	960950b573	25414	28402	2988	97008	200	
16	0	3560900b7e	25589	28406	2817	95128	200	
16	0	0838f39999	24595	28407	3812	94940	200	
16	0	73f69507ba	25581	28409	2828	92120	200	
16	0	402a12e54f	25403	28410	3007	94000	200	
16	0	8eb8925af6	26405	29410	3005	95692	200	
16	0	11fa077202	26392	30414	4022	92308	200	
16	0	a7be4435fa	27411	30417	3006	90616	200	
16	0	03efe6ff88	28402	30419	2017	90616	200	
16	0	7a5798d798	27403	30455	3052	94564	200	
16	0	b73488fdd4	27597	31422	3825	92496	200	
16	0	e590b6a643	27404	31424	4020	90052	200	
16	0	1d417f09a0	27411	31427	4016	96068	200	
16	0	0a79c6279b	28410	31428	3018	87608	200	
16	0	bb194cfd9c	28406	31428	3022	91368	200	
16	0	4daf3c9840	27408	31429	4021	95880	200	
16	0	3c66e10211	28398	31429	3031	86856	200	
16	0	c6a532d1a5	27411	31435	4024	90616	200	
16	0	ca36b8bdd4	30417	31593	1176	92120	200	
16	0	107a530005	30414	31612	1198	90428	200	
16	0	1afd9d43ee	1923	32012	30089	0	0	over-budget
16	0	9aef798f14	28409	32410	4001	93060	200	
16	0	e6f7ccd06f	28407	32420	4013	90240	200	
16	0	6a90892834	29410	32427	3017	94940	200	
16	0	ba246b38d2	30419	33411	2992	91368	200	
16	0	0ba2f3212f	30455	33414	2959	87796	200	
16	0	67d03436a2	31424	34431	3007	87232	200	
16	0	6a7aa2bfe2	31429	34600	3171	89864	200	
16	0	c92cfe89a9	31427	35414	3987	90240	200	
16	0	9558e11b2a	31422	35414	3992	91368	200	
16	0	9e29667568	32410	35419	3009	98136	200	
16	0	bc49b1a978	31428	35420	3992	87044	200	
16	0	019fd735e9	32012	35420	3408	92120	200	
16	0	039ed7fdce	32420	35422	3002	93812	200	
16	0	a05dc8a2e0	31612	35422	3810	94188	200	
16	0	155d501063	31429	35422	3993	90992	200	
16	0	84cff65980	31428	35583	4155	92872	200	
16	0	49a3ac7358	32427	35818	3391	97008	200	
16	0	13a511c1f3	33411	35821	2410	98512	200	
16	0	8118f6a2bc	33414	36407	2993	94188	200	
16	0	c2050389d7	31435	36443	5008	95880	200	
16	0	769cc28732	31593	37405	5812	92308	200	
16	0	3ac175f490	34600	37409	2809	89864	200	
16	0	4512c619a5	34431	37411	2980	96632	200	
16	0	164713957d	35414	37601	2187	94000	200	
16	0	520375075e	35414	38400	2986	92120	200	
16	0	6a2d668a46	35419	38404	2985	94188	200	
canary	1	c5a9f56a3c	38405	39585	1180	90428	200	
16	1	96b80d2ff2	39587	41420	1833	89864	200	
16	1	efd8e02694	39586	41421	1835	91368	200	
16	1	2b8f4f5479	39588	42416	2828	88360	200	
16	1	0c6885a6af	39587	42419	2832	88548	200	
16	1	95387f9292	39586	42424	2838	92496	200	
16	1	faae4a7fa1	39588	42425	2837	92684	200	
16	1	0b34d6af59	39588	42426	2838	91368	200	
16	1	acce8b4e23	39586	42426	2840	96632	200	
16	1	dc3c03e16c	39588	42428	2840	88924	200	
16	1	b58eaed2a3	39587	43413	3826	94752	200	
16	1	ff8e57f009	39587	43418	3831	87044	200	
16	1	bad5dc37ff	39587	43423	3836	96256	200	
16	1	c482ff1a24	41420	43432	2012	92684	200	
16	1	5a891e471f	41421	43438	2017	93436	200	
16	1	1e2e689a98	39588	44413	4825	93248	200	
16	1	eb6a01341f	39587	44414	4827	95692	200	
16	1	8302acc645	43418	45408	1990	84412	200	
16	1	45c64f5858	39587	45410	5823	96820	200	
16	1	32af787bf3	39587	45414	5827	91556	200	
16	1	a966d343cb	42425	45420	2995	90052	200	
16	1	b271037071	42416	45420	3004	93060	200	
16	1	e38ebe1357	42424	45421	2997	94000	200	
16	1	116633e598	42426	45422	2996	90992	200	
16	1	f5a4eea302	42426	45422	2996	89300	200	
16	1	68bce2b7da	42428	45422	2994	93624	200	
16	1	3f47fee5fd	43423	46408	2985	90240	200	
16	1	279b41bb54	43432	46409	2977	89300	200	
16	1	a3084742f5	43413	46419	3006	90992	200	
16	1	db4cff3725	45422	47405	1983	93812	200	
16	1	081645407e	44413	47415	3002	87420	200	
16	1	10f4c4fde4	43438	47417	3979	92496	200	
16	1	eb1a13a774	44414	47451	3037	93624	200	
16	1	7c5c7a3a93	45421	47603	2182	91932	200	
16	1	1960af18d0	45410	48410	3000	92684	200	
16	1	99a7948e6d	45408	48411	3003	91744	200	
16	1	076b4293b6	45414	48412	2998	95692	200	
16	1	18bf8aaa55	42419	48416	5997	91932	200	
16	1	940444ee4c	45422	48583	3161	94188	200	
16	1	169ef7d0fa	46408	49402	2994	94376	200	
16	1	b26e9b5fc8	46409	49410	3001	90052	200	
16	1	20d839d6d0	46419	49410	2991	96820	200	
16	1	ac008bfda1	45420	49434	4014	96256	200	
16	1	be712e93f7	45420	49558	4138	91180	200	
16	1	9cef6d076b	45422	49578	4156	97384	200	
16	1	964b6e3185	47405	50433	3028	90804	200	
16	1	75178d091f	47451	50433	2982	94752	200	
16	1	982d0576f9	47415	50433	3018	95316	200	
16	1	e0c0d4b1ed	47603	51426	3823	89488	200	
16	1	0b9768529c	47417	51428	4011	94000	200	
16	1	ef00a1bb8b	48411	51431	3020	95880	200	
16	1	8c870dcd56	48410	51431	3021	97196	200	
16	1	ef17fad69f	49410	52402	2992	92684	200	
16	1	51d2141a3b	48412	52419	4007	93812	200	
16	1	31a8283f08	48416	52425	4009	94564	200	
16	1	41a13d58b8	49434	52426	2992	93060	200	
16	1	5a64fd5f88	49402	52426	3024	96820	200	
16	1	2a183b03e7	50433	52427	1994	90240	200	
