arm	mode	kind	code	ms
a02-8-spread	spread	miss	404	440
a02-8-spread	spread	hit	200	3
a02-8-spread	spread	miss	404	405
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	522
a02-8-spread	spread	hit	200	3
a02-8-spread	spread	miss	404	528
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	579
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	389
a02-8-spread	spread	hit	200	3
a02-8-spread	spread	miss	404	397
a02-8-spread	spread	hit	200	3
a02-8-spread	spread	miss	404	450
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	393
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	357
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	475
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	460
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	522
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	249
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	520
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	368
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	423
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	369
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	443
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	343
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	499
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	218
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	433
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	321
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	560
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	598
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	390
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	553
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	478
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	347
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	420
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	543
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	448
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	410
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	158
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	514
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	495
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	433
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	467
