# In-browser weeb-3 concurrency sweep. arms [1,4], rounds 2, block 45.
# Retrieval budget 30000ms. A row at the bound is "did not complete", never a duration.
# Degraded rounds (canary missed), excluded by the analyser: []
# Scheduling probe: same-origin fetch p50 39ms (ceiling 500ms), document visible. Judge the environment, do not assume it.
# round 0 pos 0 arm 1: peers 200/0 -> 200/0, focused true
# round 0 pos 1 arm 4: peers 200/0 -> 200/0, focused true
# round 1 pos 0 arm 4: peers 200/0 -> 200/0, focused true
# round 1 pos 1 arm 1: peers 200/0 -> 200/0, focused true
# Summarise with: node deploy/scripts/concurrency-analysis.mjs <this file>
arm	round	ref	startMs	endMs	ms	bytes	status	overBudget
canary	0	001c74f611	576	4371	3795	4379272	200	
1	0	10428de908	4372	9523	5151	1703280	200	
1	0	6f4932d246	9523	12330	2807	1754604	200	
1	0	13d3ec5df4	12330	14560	2230	1689932	200	
1	0	047f4555a4	14560	16608	2048	1698016	200	
1	0	938cad86ca	16608	18526	1918	1713244	200	
1	0	e82e989179	18526	20369	1843	1705160	200	
1	0	51109a2e88	20369	22206	1837	1719824	200	
1	0	ad70cc2157	22206	24087	1881	1752348	200	
1	0	f7f79e2847	24087	26193	2106	1745204	200	
1	0	6c9597ffe4	26193	28298	2105	1703468	200	
1	0	e07ec82d63	28298	30386	2088	1723584	200	
1	0	62af2cf3ce	30386	32565	2179	1733360	200	
1	0	c25a6015da	32565	34942	2377	1741256	200	
1	0	a16be30490	34942	36757	1815	1691812	200	
1	0	c7854a2907	36757	38786	2029	1739940	200	
1	0	7ea86991f7	38786	41168	2382	1696136	200	
1	0	b20ed414fa	41168	43398	2230	1767388	200	
1	0	0536300fc7	43398	45578	2180	1699144	200	
1	0	8be9906fa8	45578	47781	2203	1752912	200	
1	0	28934cdefb	47781	49770	1989	1713620	200	
1	0	bb0fd69a63	49770	51611	1841	1732232	200	
1	0	64ccbb6dfe	51611	54021	2410	1709296	200	
1	0	072ee006fe	54021	57186	3165	1730352	200	
1	0	d612340fea	57186	59018	1832	1687300	200	
1	0	5da01b4eb6	59018	61065	2047	1737872	200	
1	0	dc999da692	61065	62788	1723	1718508	200	
1	0	3b93b05fa0	62788	65013	2225	1711176	200	
1	0	5715ed75b1	65013	67669	2656	1726404	200	
1	0	730ae6e5d6	67669	69870	2201	1718884	200	
1	0	4b6c402b68	69870	71884	2014	1723396	200	
1	0	95894503a5	71884	73973	2089	1689556	200	
1	0	2b5bdd4810	73973	76205	2232	1722268	200	
1	0	83589f07b5	76205	78077	1872	1709108	200	
1	0	5511dcdf19	78077	80225	2148	1754792	200	
1	0	66c2e6376e	80225	82478	2253	1695572	200	
1	0	eab5565d07	82478	84617	2139	1760620	200	
1	0	7ae377ab41	84617	86798	2181	1735804	200	
1	0	6752d226f2	86798	89016	2218	1743324	200	
1	0	01637f5795	89016	90856	1840	1702528	200	
1	0	5ffb8a0492	90856	92925	2069	1740880	200	
1	0	da7e5bde46	92925	94854	1929	1722268	200	
1	0	bea4e5ce10	94854	96941	2087	1744076	200	
1	0	11c73c32f6	96941	98754	1813	1689744	200	
1	0	ebbb69f148	98754	100953	2199	1707604	200	
1	0	a49eaabca6	100953	102943	1990	1725840	200	
4	0	3feafac8a1	102944	106974	4030	1702716	200	
4	0	2150763bfc	102944	107686	4742	1698016	200	
4	0	067858ffe3	102944	109424	6480	1787504	200	
4	0	786e8d4b6b	106974	109949	2975	1713808	200	
4	0	9cc34a4dd5	102944	110301	7357	1749716	200	
4	0	3ed3ec768e	107686	110943	3257	1790512	200	
4	0	0073aeaa20	109424	113222	3798	1691812	200	
4	0	f0aae68263	110301	116161	5860	1708168	200	
4	0	a4c6d45149	109950	116666	6716	1725464	200	
4	0	03f58a4b3b	113222	116863	3641	1672636	200	
4	0	c4aa10eefb	110943	116975	6032	1718132	200	
4	0	a52b107c34	116161	120468	4307	1734112	200	
4	0	e612a3ac5f	120468	123487	3019	1724148	200	
4	0	3e959d927f	116666	123602	6936	1738248	200	
4	0	886bbbb0a9	116863	123715	6852	1749528	200	
4	0	b9ad39a4fb	116975	124836	7861	1739000	200	
